Product Name,Product Price,Product Ratings,Product Reviews,BRAND
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
MSI Mic Wired Gaming," Rs. 7,462 ",5,3.4,MSI
Clairbell Sunglass with (Bluetooth Earbuds) Music and b..., Rs. 679 ,"75,201",3.7,Clairbell
TABARET Trendy Rock Beat Sound Bluetooth Headphone Inbu..., Rs. 279 ,166,3.8,TABARET
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"GOBOULT (previously Boult) Fluid X 60H Battery, 40mm Dr..."," Rs. 2,299 ","13,158",4.1,GOBOULT
Rode NTH-100 Wired without Mic," Rs. 16,499 ",8,3.5,Rode
Clairbell SH12 Premium (Bluetooth Headset) with Cancela..., Rs. 538 ,26,3.2,Clairbell
5SUPREME P9 Wireless On Ear Headphones Deep Bass xzs9 B..., Rs. 617 ,5,2.8,5SUPREME
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...", Rs. 799 ,"4,064",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
FRONY P9 Wireless Bluetooth Headphones Over Ear With No..., Rs. 557 ,30,4,FRONY
HOPPUP SONC with 20 Hours Play Time Bluetooth Gaming, Rs. 699 ,"4,419",3.5,HOPPUP
FRONY HEA76-DPON29-P47 Wireless Bluetooth Headphone Wit..., Rs. 437 ,6,4,FRONY
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
stylie modern Alternatives New Arrival of unicorn desig..., Rs. 413 ,65,3.6,stylie
electricbass cl 35 bluetooth wireless neckband with 100...," Rs. 1,082 ",7,4.4,electricbass
YAROH D4_SH-12 Wireless Bluetooth Over the Ear Headphon..., Rs. 529 ,6,3.3,YAROH
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
